,Sales,CompPrice,Income,Advertising,Population,Price,ShelveLoc,Age,Education,Urban,US,High
84,4.42,109,36,7,468,94,Bad,56,11,Yes,Yes,No
85,2.23,111,25,0,52,121,Bad,43,18,No,No,No
86,8.47,125,103,0,304,112,Medium,49,13,No,No,Yes
87,8.7,150,84,9,432,134,Medium,64,15,Yes,No,Yes
88,11.7,131,67,7,272,126,Good,54,16,No,Yes,Yes
89,6.56,117,42,7,144,111,Medium,62,10,Yes,Yes,No
90,7.95,128,66,3,493,119,Medium,45,16,No,No,No
91,5.33,115,22,0,491,103,Medium,64,11,No,No,No
92,4.81,97,46,11,267,107,Medium,80,15,Yes,Yes,No
93,4.53,114,113,0,97,125,Medium,29,12,Yes,No,No
94,8.86,145,30,0,67,104,Medium,55,17,Yes,No,Yes
95,8.39,115,97,5,134,84,Bad,55,11,Yes,Yes,Yes
96,5.58,134,25,10,237,148,Medium,59,13,Yes,Yes,No
97,9.48,147,42,10,407,132,Good,73,16,No,Yes,Yes
98,7.45,161,82,5,287,129,Bad,33,16,Yes,Yes,No
99,12.49,122,77,24,382,127,Good,36,16,No,Yes,Yes
100,4.88,121,47,3,220,107,Bad,56,16,No,Yes,No
101,4.11,113,69,11,94,106,Medium,76,12,No,Yes,No
102,6.2,128,93,0,89,118,Medium,34,18,Yes,No,No
103,5.3,113,22,0,57,97,Medium,65,16,No,No,No
104,5.07,123,91,0,334,96,Bad,78,17,Yes,Yes,No
105,4.62,121,96,0,472,138,Medium,51,12,Yes,No,No
106,5.55,104,100,8,398,97,Medium,61,11,Yes,Yes,No
107,0.16,102,33,0,217,139,Medium,70,18,No,No,No
108,8.55,134,107,0,104,108,Medium,60,12,Yes,No,Yes
109,3.47,107,79,2,488,103,Bad,65,16,Yes,No,No
110,8.98,115,65,0,217,90,Medium,60,17,No,No,Yes
111,9,128,62,7,125,116,Medium,43,14,Yes,Yes,Yes
112,6.62,132,118,12,272,151,Medium,43,14,Yes,Yes,No
113,6.67,116,99,5,298,125,Good,62,12,Yes,Yes,No
114,6.01,131,29,11,335,127,Bad,33,12,Yes,Yes,No
115,9.31,122,87,9,17,106,Medium,65,13,Yes,Yes,Yes
116,8.54,139,35,0,95,129,Medium,42,13,Yes,No,Yes
117,5.08,135,75,0,202,128,Medium,80,10,No,No,No
"Showing 1 to 12 of 400 entries, 12 total columns",,,,,,,,,,,,
